  DAB [m^2/s]     DBA [m^2/s]    Temperature [K]
  3.062240E-09   9.261754E-10   3.271804E+02
  3.072292E-09   9.308020E-10   3.274437E+02
  3.082363E-09   9.354452E-10   3.277070E+02
  3.092453E-09   9.401048E-10   3.279704E+02
  3.102562E-09   9.447804E-10   3.282337E+02
  3.112689E-09   9.494722E-10   3.284970E+02
  3.122836E-09   9.541804E-10   3.287604E+02
  3.133001E-09   9.589048E-10   3.290237E+02
  3.143184E-09   9.636462E-10   3.292870E+02
  3.153386E-09   9.684034E-10   3.295504E+02
  3.163607E-09   9.731774E-10   3.298137E+02
  3.173848E-09   9.779677E-10   3.300771E+02
  3.184106E-09   9.827746E-10   3.303404E+02
  3.194384E-09   9.875978E-10   3.306037E+02
  3.204680E-09   9.924379E-10   3.308671E+02
  3.214995E-09   9.972945E-10   3.311304E+02
  3.225329E-09   1.002168E-09   3.313937E+02
  3.235681E-09   1.007058E-09   3.316571E+02
  3.246053E-09   1.011964E-09   3.319204E+02
  3.256444E-09   1.016887E-09   3.321837E+02
  3.266852E-09   1.021827E-09   3.324471E+02
  3.277280E-09   1.026784E-09   3.327104E+02
  3.287727E-09   1.031758E-09   3.329738E+02
  3.298192E-09   1.036748E-09   3.332371E+02
  3.308676E-09   1.041756E-09   3.335004E+02
  3.319178E-09   1.046779E-09   3.337638E+02
  3.329700E-09   1.051820E-09   3.340271E+02
  3.340240E-09   1.056878E-09   3.342904E+02
  3.350799E-09   1.061953E-09   3.345538E+02
  3.361378E-09   1.067045E-09   3.348171E+02
  3.371974E-09   1.072154E-09   3.350804E+02
  3.382589E-09   1.077280E-09   3.353438E+02
  3.393223E-09   1.082423E-09   3.356071E+02
  3.403875E-09   1.087583E-09   3.358705E+02
  3.414547E-09   1.092761E-09   3.361338E+02
  3.425238E-09   1.097955E-09   3.363971E+02
  3.435947E-09   1.103166E-09   3.366605E+02
  3.446675E-09   1.108395E-09   3.369238E+02
  3.457422E-09   1.113641E-09   3.371871E+02
  3.468188E-09   1.118905E-09   3.374505E+02
  3.478972E-09   1.124185E-09   3.377138E+02
  3.489775E-09   1.129483E-09   3.379771E+02
  3.500597E-09   1.134798E-09   3.382405E+02
  3.511438E-09   1.140131E-09   3.385038E+02
  3.522296E-09   1.145481E-09   3.387672E+02
  3.533175E-09   1.150848E-09   3.390305E+02
  3.544072E-09   1.156233E-09   3.392938E+02
  3.554988E-09   1.161636E-09   3.395572E+02
  3.565922E-09   1.167056E-09   3.398205E+02
  3.576876E-09   1.172493E-09   3.400838E+02
  3.587848E-09   1.177948E-09   3.403472E+02
  3.598838E-09   1.183421E-09   3.406105E+02
  3.609848E-09   1.188911E-09   3.408738E+02
  3.620876E-09   1.194419E-09   3.411372E+02
  3.631923E-09   1.199944E-09   3.414005E+02
  3.642989E-09   1.205488E-09   3.416638E+02
  3.654074E-09   1.211049E-09   3.419272E+02
  3.665177E-09   1.216627E-09   3.421905E+02
  3.676299E-09   1.222224E-09   3.424539E+02
  3.687441E-09   1.227838E-09   3.427172E+02
  3.698599E-09   1.233471E-09   3.429805E+02
  3.709778E-09   1.239121E-09   3.432439E+02
  3.720976E-09   1.244788E-09   3.435072E+02
  3.732191E-09   1.250475E-09   3.437705E+02
  3.743426E-09   1.256178E-09   3.440339E+02
  3.754679E-09   1.261900E-09   3.442972E+02
  3.765951E-09   1.267640E-09   3.445605E+02
  3.777242E-09   1.273398E-09   3.448239E+02
  3.788552E-09   1.279173E-09   3.450872E+02
  3.799880E-09   1.284967E-09   3.453506E+02
  3.811228E-09   1.290780E-09   3.456139E+02
  3.822594E-09   1.296610E-09   3.458772E+02
  3.833978E-09   1.302458E-09   3.461406E+02
  3.845382E-09   1.308324E-09   3.464039E+02
  3.856803E-09   1.314209E-09   3.466672E+02
  3.868244E-09   1.320112E-09   3.469306E+02
  3.879704E-09   1.326033E-09   3.471939E+02
  3.891183E-09   1.331973E-09   3.474572E+02
  3.902679E-09   1.337931E-09   3.477206E+02
  3.914195E-09   1.343906E-09   3.479839E+02
  3.925730E-09   1.349901E-09   3.482473E+02
  3.937283E-09   1.355914E-09   3.485106E+02
  3.948856E-09   1.361945E-09   3.487739E+02
  3.960446E-09   1.367995E-09   3.490373E+02
  3.972056E-09   1.374063E-09   3.493006E+02
  3.983684E-09   1.380150E-09   3.495639E+02
  3.995331E-09   1.386256E-09   3.498273E+02
  4.006996E-09   1.392379E-09   3.500906E+02
  4.018680E-09   1.398522E-09   3.503539E+02
  4.030383E-09   1.404682E-09   3.506173E+02
  4.042105E-09   1.410862E-09   3.508806E+02
  4.053847E-09   1.417060E-09   3.511440E+02
  4.065605E-09   1.423277E-09   3.514073E+02
  4.077384E-09   1.429513E-09   3.516706E+02
  4.089179E-09   1.435768E-09   3.519340E+02
  4.100995E-09   1.442041E-09   3.521973E+02
  4.112829E-09   1.448333E-09   3.524606E+02
  4.124682E-09   1.454643E-09   3.527240E+02
  4.136554E-09   1.460973E-09   3.529873E+02
  4.148444E-09   1.467321E-09   3.532506E+02
  4.160353E-09   1.473689E-09   3.535140E+02
  4.172280E-09   1.480075E-09   3.537773E+02
  4.184226E-09   1.486480E-09   3.540406E+02
  4.196191E-09   1.492904E-09   3.543040E+02
  4.208175E-09   1.499347E-09   3.545673E+02
  4.220177E-09   1.505809E-09   3.548307E+02
  4.232198E-09   1.512291E-09   3.550940E+02
  4.244237E-09   1.518791E-09   3.553573E+02
  4.256296E-09   1.525310E-09   3.556207E+02
  4.268372E-09   1.531849E-09   3.558840E+02
  4.280469E-09   1.538406E-09   3.561473E+02
  4.292584E-09   1.544982E-09   3.564107E+02
  4.304716E-09   1.551579E-09   3.566740E+02
  4.316868E-09   1.558194E-09   3.569373E+02
  4.329039E-09   1.564829E-09   3.572007E+02
  4.341227E-09   1.571482E-09   3.574640E+02
  4.353435E-09   1.578155E-09   3.577274E+02
  4.365662E-09   1.584847E-09   3.579907E+02
  4.377907E-09   1.591558E-09   3.582540E+02
  4.390170E-09   1.598290E-09   3.585174E+02
  4.402453E-09   1.605040E-09   3.587807E+02
  4.414754E-09   1.611810E-09   3.590440E+02
  4.427073E-09   1.618599E-09   3.593074E+02
  4.439412E-09   1.625408E-09   3.595707E+02
  4.451769E-09   1.632236E-09   3.598340E+02
  4.464144E-09   1.639083E-09   3.600974E+02
  4.476538E-09   1.645950E-09   3.603607E+02
  4.488951E-09   1.652837E-09   3.606241E+02
  4.501382E-09   1.659743E-09   3.608874E+02
  4.513832E-09   1.666670E-09   3.611507E+02
  4.526301E-09   1.673614E-09   3.614141E+02
  4.538788E-09   1.680580E-09   3.616774E+02
  4.551294E-09   1.687565E-09   3.619407E+02
  4.563819E-09   1.694570E-09   3.622041E+02
  4.576362E-09   1.701594E-09   3.624674E+02
  4.588924E-09   1.708638E-09   3.627307E+02
  4.601505E-09   1.715702E-09   3.629941E+02
  4.614103E-09   1.722786E-09   3.632574E+02
  4.626721E-09   1.729889E-09   3.635208E+02
  4.639357E-09   1.737013E-09   3.637841E+02
  4.652011E-09   1.744156E-09   3.640474E+02
  4.664685E-09   1.751318E-09   3.643108E+02
  4.677377E-09   1.758502E-09   3.645741E+02
  4.690087E-09   1.765704E-09   3.648374E+02
  4.702815E-09   1.772928E-09   3.651008E+02
  4.715563E-09   1.780171E-09   3.653641E+02
  4.728330E-09   1.787434E-09   3.656274E+02
  4.741115E-09   1.794717E-09   3.658908E+02
  4.753918E-09   1.802020E-09   3.661541E+02
  4.766739E-09   1.809344E-09   3.664174E+02
  4.779580E-09   1.816686E-09   3.666808E+02
  4.792439E-09   1.824050E-09   3.669441E+02
  4.805317E-09   1.831433E-09   3.672075E+02
  4.818212E-09   1.838838E-09   3.674708E+02
  4.831128E-09   1.846261E-09   3.677341E+02
  4.844060E-09   1.853706E-09   3.679975E+02
  4.857013E-09   1.861171E-09   3.682608E+02
  4.869983E-09   1.868655E-09   3.685241E+02
  4.882971E-09   1.876160E-09   3.687875E+02
  4.895979E-09   1.883685E-09   3.690508E+02
  4.909004E-09   1.891232E-09   3.693141E+02
  4.922049E-09   1.898798E-09   3.695775E+02
  4.935111E-09   1.906385E-09   3.698408E+02
  4.948193E-09   1.913991E-09   3.701042E+02
  4.961293E-09   1.921619E-09   3.703675E+02
  4.974412E-09   1.929267E-09   3.706308E+02
  4.987549E-09   1.936935E-09   3.708942E+02
  5.000703E-09   1.944623E-09   3.711575E+02
  5.013877E-09   1.952333E-09   3.714208E+02
  5.027070E-09   1.960063E-09   3.716842E+02
  5.040280E-09   1.967813E-09   3.719475E+02
  5.053509E-09   1.975585E-09   3.722108E+02
  5.066758E-09   1.983377E-09   3.724742E+02
  5.093265E-09   1.998997E-09   3.730000E+02
